System	Client	IMEI	Vehicle	Plate Number	Chassis	Days Since Last Report	Last Report Date
SecurePath	FAST RENT A CAR	356173062415950	FORD ECOSPORT	MAJFK1BZ9KAE64870	MAJFK1BZ9KAE64870	106	2020-03-25T08:19:29+04:00
SecurePath	LEASE PLAN EMIRATES LLC	356173062412734	VOLKSWAGEN PASSAT	WVWAR7A35KC013730	WVWAR7A35KC013730	106	2020-03-25T09:18:35+04:00
SecurePath	FAST RENT A CAR	356173061703125	Ford Figo	E86222	MAJFKVGZ3KTE86222	120	2020-03-11T10:41:04+04:00
SecurePath	FAST RENT A CAR	356307049785107	TOYOTA HIACE	M74616	JTFHX02P3HO112397	106	2020-03-25T09:37:53+04:00
SecurePath	FAST RENT A CAR	356173062853085	HYUNDAI ACCENT 	M89315	KMHCT41D0HU265580	8	2020-07-01T18:06:05+04:00
SecurePath	N/A	356307048801020	N/A	N/A	N/A	136	2020-02-24T21:34:32+04:00
SecurePath	N/A	356173062390146	N/A	N/A	N/A	135	2020-02-25T10:34:48+04:00
SecurePath	N/A	356307048822968	N/A	N/A	N/A	29	2020-06-10T12:41:37+04:00
SecurePath	FAST RENT A CAR	356173063065192	MITSUBISHI L200	M74599	MMBJNKJ40GH059777	106	2020-03-25T09:38:12+04:00
SecurePath	LEASE PLAN EMIRATES LLC	356307048832892	VOLKSWAGEN MOTION	.	WVGHG2CA6KC585436	106	2020-03-25T09:01:42+04:00
SecurePath	N/A	356173062400000	N/A	N/A	N/A	N/A	N/A
SecurePath	FAST RENT A CAR	356307048772965	FORD ESCORT	R23775	LVSFFBFU0LSJ86584	106	2020-03-25T08:03:20+04:00
SecurePath	LEASE PLAN EMIRATES LLC	356307048792179	NISSAN ALTIMA	1N4BL4A98LC171673	1N4BL4A98LC171673	144	2020-02-16T13:28:52+04:00
SecurePath	FAST RENT A CAR	356173063495936	TOYOTA HIACE	M74688	JTFHX02P7H0112516	106	2020-03-25T08:27:00+04:00
SecurePath	N/A	865000000003835	N/A	N/A	N/A	52	2020-05-18T11:01:08+04:00
SecurePath	FAST RENT A CAR	356173062934307	FORD FIGO	E89721	MAJFKBGZ3KTE89721	106	2020-03-25T09:39:34+04:00
SecurePath	FAST RENT A CAR	356307047630925	NISSAN SUNNY	H53510	MDHBN7AD6FG707124	110	2020-03-21T08:53:50+04:00
SecurePath	FAST RENT A CAR	356173066480356	NISSAN SUNNY	L63238	MDHBN7AD2JG615047	135	2020-02-25T11:04:54+04:00
SecurePath	FAST RENT A CAR	356307047717532	NISSAN PATHFINDER	D31301	5N1AR2M54GC611763	106	2020-03-25T08:56:49+04:00
SecurePath	AL SAWABI LIMOUSINE	356307049874091	LEXUS ES 350	L22147	JTHBK1GG7E2113904	196	2019-12-26T19:19:44+04:00
SecurePath	N/A	356173061697012	N/A	N/A	N/A	36	2020-06-03T10:47:05+04:00
SecurePath	LEASE PLAN EMIRATES LLC	356084368764001	RENAULT DOKKER	K87301	VF18SRB41HG526303	N/A	N/A
SecurePath	N/A	356173305106028	N/A	N/A	N/A	N/A	N/A
SecurePath	N/A	356173062950000	N/A	N/A	N/A	N/A	N/A
SecurePath	FAST RENT A CAR	356307049908683	FORD ECOSPORT	E64901	MAJFK1BZ5KAE64901	106	2020-03-25T09:27:54+04:00
SecurePath	FAST RENT A CAR	865733029352523	KIA OPTIMA	H57697	KNAGM4127G5657737	136	2020-02-24T15:49:20+04:00
SecurePath	MASSAR SOLUTIONS - DEVICE ONLY	356173067708575	TOYOTA YARIS	MR2K19F35J1042342	MR2K19F35J1042342	N/A	N/A
SecurePath	N/A	356173063000004	N/A	N/A	N/A	128	2020-03-03T11:39:03+04:00
SecurePath	MASSAR SOLUTIONS - DEVICE ONLY	356173082221101	MERCEDEZ BENZ	W43622	WDD3F4GB0KJ036011	N/A	N/A
SecurePath	MASSAR SOLUTIONS - DEVICE ONLY	868324020241993	INFINITI Q30	N/A	SJKDH5CP5KA006970	135	2020-02-25T10:40:19+04:00
SecurePath	N/A	356173062288126	N/A	N/A	N/A	98	2020-04-02T21:09:46+04:00
SecurePath	FAST RENT A CAR	356173066430062	NISSAN URVAN	J82273	JN6BE6DS1F9010630	135	2020-02-25T10:02:52+04:00
SecurePath	FAST RENT A CAR	356173062862177	FORD ESCORT	LVSFFBFU8LSM24505	LVSFFBFU8LSM24505	106	2020-03-25T09:27:35+04:00
SecurePath	LEASE PLAN EMIRATES LLC	356173069302565	NISSAN PATHFINDER 	N27802	5N1AR2M51GC608979	15	2020-06-24T21:15:04+04:00
SecurePath	FAST RENT A CAR	356173061715152	TOYOTA HIACE	W85415	JTFHX02P1J0120861	106	2020-03-25T08:51:53+04:00
SecurePath	FAST RENT A CAR	356173062958405	FORD FIGO	R23920	MAJFKBFZ5LTT36855	106	2020-03-25T08:32:08+04:00
SecurePath	N/A	356173061714114	N/A	N/A	N/A	22	2020-06-17T14:06:31+04:00
SecurePath	FAST RENT A CAR	356173062337386	FORD FIGO 	00	MAJFKBGZ9KTE87522	106	2020-03-25T09:18:30+04:00
SecurePath	FAST RENT A CAR	356173062906875	FORD ECOSPORT	MAJFK1BZ3LAM48906	MAJFK1BZ3LAM48906	106	2020-03-25T09:31:19+04:00
SecurePath	N/A	356173066612487	N/A	N/A	N/A	124	2020-03-07T15:48:08+04:00
SecurePath	FAST RENT A CAR	356307047708051	FORD ECOSPORT	MAJFK1BZ3KAE64864	MAJFK1BZ3KAE64864	262	2019-10-21T23:24:46+04:00
SecurePath	FAST RENT A CAR	356173061712779	MITSUBISHI L200	M74587	MMBJNKJ40GH059631	205	2019-12-17T10:51:48+04:00
SecurePath	FAST RENT A CAR	356173062874958	MITSUBISHI ROSA	G91778	JL5B3J6P7GRP21234	717	2018-07-23T06:29:55+04:00
SecurePath	FAST RENT A CAR	356173062416123	KIA RIO	Q35507	KNADM5121G6744004	113	2020-03-18T08:59:37+04:00
SecurePath	FAST RENT A CAR	356173061738717	TOYOTA RAV 4	S21480	JTDZF9EV3GJ072698	13	2020-06-26T17:05:13+04:00
SecurePath	FAST RENT A CAR	356173063061647	FORD EDGE	R23726	2FMPK4G97KBB99209	114	2020-03-17T23:35:00+04:00
SecurePath	FAST RENT A CAR	356173062300947	NISSAN URVAN	E11487	JN6BE6DS3G9024658	106	2020-03-25T09:39:41+04:00
SecurePath	FAST RENT A CAR	356307048839376	NISSAN SUNNY	Q22879	MDHBN7AD1FG717103	135	2020-02-25T10:45:22+04:00
SecurePath	N/A	865733000000008	N/A	N/A	N/A	52	2020-05-18T10:24:40+04:00
